,Country,MIN_AGE,MAX_AGE,NumHouseChildren,NumMaleChildrenHousehold,NumFemaleChildrenHousehold,Units,Units7,Units30,Units90,Units180,Units360,FrequencyLF,FrequencyApp,FreqGamePlay,FrequencyLF7,FrequencyApp7,FreqGamePlay7,FrequencyLF30,FrequencyApp30,FreqGamePlay30,FrequencyLF90,FrequencyApp90,FreqGamePlay90,FrequencyLF180,FrequencyApp180,FreqGamePlay180,FrequencyLF360,FrequencyApp360,FreqGamePlay360,TotalRevenueGenerated,Revenue7,Revenue30,Revenue90,Revenue180,Revenue360,TotalTimeGamePlay,TotalTimeGamePlay7,TotalTimeGamePlay30,TotalTimeGamePlay90,TotalTimeGamePlay180,TotalTimeGamePlay360,NumGamesBought,NumGamesPlayed,NumGamesPlayed7,NumGamesPlayed30,NumGamesPlayed90,NumGamesPlayed180,NumGamesPlayed360,RecencyApp,RecencyApp7,RecencyApp30,RecencyApp90,RecencyApp180,RecencyApp360,RecencyLF,RecencyLF7,RecencyLF30,RecencyLF90,RecencyLF180,RecencyLF360,Recencydown,Recencydown7,Recencydown30,Recencydown90,Recencydown180,Recencydown360,maxRecencyCum,minRecencyCum,maxRecencyCum7,minRecencyCum7,maxRecencyCum30,minRecencyCum30,maxRecencyCum90,minRecencyCum90,maxRecencyCum180,minRecencyCum180,maxRecencyCum360,minRecencyCum360,FavSourceBin,FavChannelBin,FavChannel7Bin,FavSource7Bin,FavChannel30Bin,FavSource30Bin,FavChannel90Bin,FavSource90Bin,FavChannel180Bin,FavSource180Bin,FavChannel360Bin,FavSource360Bin,FavGameBin,FavGame7Bin,FavGame30Bin,FavGame90Bin,FavGame180Bin,FavGame360Bin,StrengthOfFavoriteGame,TenureDays
Country,1,0.173301548,0.380042555,0.205177453,0.105300031,0.101664851,0.128203906,0.006006171,0.014020733,0.034070524,0.035031624,0.134212682,0.647706047,0.066412814,0.042511046,NA,NA,NA,NA,0.006305597,NA,NA,0.022320695,NA,NA,0.023633,0.02994617,0.598581742,0.054566108,0.039396597,0.257537323,0.00301006,0.015452547,0.0409827,0.039522103,0.260204168,NA,NA,NA,NA,NA,NA,0.066412814,0.072680828,NA,0.036243409,0.054845463,0.060930705,0.076921705,-0.086764682,-0.018304574,-0.030556198,-0.040135494,-0.034221499,-0.05470303,0.632750373,0.139613968,0.271237718,0.3180959,0.331726358,0.575634663,-0.003238532,-0.031420052,-0.033152061,-0.029249552,-0.028087298,-0.031632782,1.85E-05,-0.038290289,-0.029712663,-0.029069637,-0.036090012,-0.036107708,-0.033006066,-0.033815572,-0.024366343,-0.025371462,-0.02448631,-0.066254579,0.219315966,0.906039145,0.053976953,0.050513794,0.072725016,0.064687299,0.063170991,0.050419512,0.064449026,0.049684083,0.017146203,0.005542034,0.093355988,0.070704049,0.059695769,0.070160383,0.085064367,0.095496563,0.063277018,-0.366328448
MIN_AGE,0.173301548,1,0.40967742,-0.137916211,-0.088407886,-0.063009514,-0.021166033,0.007645444,0.008195327,0.009702802,0.01431311,0.011414502,0.005269664,-0.022962452,-0.002238446,0.003812684,0.006861576,0.002798967,-0.002073464,0.008231121,0.003206892,-0.002193704,0.011539273,0.005620443,-0.002984311,0.017450969,0.018342622,0.009722589,0.008306607,0.016842476,0.010754462,0.010979288,0.008661153,0.01105541,0.019991388,0.024045688,0.00191764,0.001707004,0.002665298,0.000115472,2.57E-05,0.001875724,-0.022962452,-0.006396368,0.002884118,0.004782897,0.007331384,0.010065379,0.011480284,0.013861024,0.009883969,0.015776342,0.012300381,0.011470477,0.015583108,0.00579609,0.003077489,0.000127803,-0.00266586,-0.002918844,0.0012764,-0.003016111,-0.002460625,0.000769384,0.003128357,0.003661831,-0.00400021,0.014750031,0.019131275,0.006651911,0.006800828,0.011362048,0.012577102,0.012575552,0.008719418,0.010556062,0.008219404,0.011686849,0.012027426,-0.000736486,0.0188327,-0.022813112,-0.022554886,-0.023848283,-0.023303223,-0.008679875,-0.020162546,-0.015436983,-0.023261592,-0.022905285,-0.021213074,0.007785148,-0.011475211,-0.006304972,0.003420063,0.001272873,0.005859206,0.001692856,-0.001514868
MAX_AGE,0.380042555,0.40967742,1,0.290346909,0.167366782,0.151720666,0.032318852,0.020364808,0.028352094,0.043485002,0.043531819,0.049948681,0.028778866,0.027826567,0.033850385,0.000495997,0.019923376,0.010783051,0.003072598,0.027547963,0.020244695,0.010011777,0.042063141,0.037751028,0.008410773,0.044289849,0.041898975,0.024166038,0.046688679,0.046239836,0.042293891,0.019242771,0.024891644,0.039462735,0.042563542,0.046743917,0.010492049,0.001183762,0.003120736,0.004798228,0.00651974,0.008404696,0.027826567,0.060892643,0.017328602,0.038990632,0.054087604,0.055669144,0.063977054,0.010802727,0.023475846,0.028891102,0.034492615,0.036506647,0.033207528,0.023779553,0.000850059,0.002690671,0.005760942,0.008884539,0.01491479,-0.009539669,0.020882887,0.022737793,0.023927307,0.024016918,0.015284488,0.015850141,0.016104393,0.025310325,0.025679913,0.033047892,0.030927328,0.038995359,0.034944824,0.041498996,0.036394442,0.035191798,0.022360166,0.025187763,0.02807952,-0.039012291,-0.04033499,-0.042339376,-0.046517362,-0.047094174,-0.055983935,-0.047296513,-0.057893477,-0.029689389,-0.042083135,0.042523918,-0.029293628,-0.013707819,-0.006698077,0.005142223,0.017598186,0.027358303,-0.012751895
NumHouseChildren,0.205177453,-0.137916211,0.290346909,1,0.560278943,0.538981325,0.176197215,0.078713629,0.112759746,0.131514541,0.143421429,0.169432937,0.055929813,0.164801834,0.166428905,0.004035909,0.076389596,0.051444442,0.022528921,0.107550953,0.07649822,0.032861208,0.129660232,0.110264305,0.032892936,0.141228866,0.120067313,0.05047148,0.158590777,0.156189853,0.15038503,0.066165998,0.098166099,0.114999773,0.128045405,0.127613104,0.040214813,0.010401953,0.016467321,0.024279724,0.030842555,0.035086916,0.164801834,0.247560279,0.084066972,0.13594105,0.167426343,0.178072007,0.209085525,0.041697913,0.070293197,0.095145089,0.110555953,0.121375448,0.111287091,0.052357858,0.0094231,0.02566827,0.035867869,0.038306954,0.040348568,-0.004751294,0.06944587,0.082359651,0.088205106,0.08888127,0.075415636,0.058268666,0.001855021,0.089708358,0.089119036,0.116074501,0.109107178,0.127911521,0.12110911,0.135452586,0.128031714,0.127915531,0.08776649,0.082053366,0.010910557,-0.127426739,-0.137608339,-0.136236299,-0.164873955,-0.154182679,-0.18610436,-0.149581699,-0.197824811,-0.086317447,-0.143040787,0.138678332,-0.05770144,-0.041360613,-0.019868086,-0.002182116,0.02920623,0.100321585,-0.038867121
NumMaleChildrenHousehold,0.105300031,-0.088407886,0.167366782,0.560278943,1,-0.395715239,0.109322376,0.029041901,0.053816038,0.070401641,0.082846334,0.094291319,0.028204198,0.107151215,0.13220177,0.011355536,0.02439474,0.024839085,0.008807122,0.051069229,0.045892769,0.016138668,0.069542186,0.07640257,0.017179656,0.080817972,0.092730954,0.021826151,0.091819008,0.11715629,0.077590645,0.024723585,0.046485088,0.059266613,0.071603744,0.059875946,0.019832009,-0.004275459,-0.000405026,0.009233299,0.014325656,0.014957111,0.107151215,0.149825291,0.048714285,0.078960566,0.100221256,0.113387018,0.131990314,0.013643794,0.028279324,0.041878527,0.054262168,0.061401633,0.052618812,0.019664514,0.010839913,0.014048425,0.013270855,0.01668388,0.017929251,-0.012039252,0.025466194,0.031301941,0.035945393,0.036756401,0.027413885,0.021996825,-0.009096351,0.03782236,0.037652757,0.052161115,0.048467582,0.058689299,0.054894952,0.063893086,0.060297678,0.057934922,0.046693882,0.042091846,-0.023451695,-0.064597482,-0.067598725,-0.076621938,-0.090920223,-0.08576212,-0.106332675,-0.086239974,-0.111575225,-0.043950704,-0.072864985,0.081734987,-0.021191173,-0.007550945,-0.000124474,0.013237512,0.035521611,0.062658978,-0.015531996
NumFemaleChildrenHousehold,0.101664851,-0.063009514,0.151720666,0.538981325,-0.395715239,1,0.084184838,0.057739652,0.070294643,0.074222615,0.074769012,0.091970377,0.033330214,0.073758224,0.050087847,-0.007072884,0.059888689,0.031779152,0.016022577,0.06731273,0.03814738,0.020022804,0.073040666,0.044559186,0.018999382,0.07440071,0.038823529,0.0337643,0.082463386,0.054035435,0.087834438,0.048218976,0.061569071,0.067235458,0.069153807,0.080600714,0.024420209,0.015880848,0.018669845,0.017530374,0.01962833,0.023692083,0.073758224,0.122119711,0.043669902,0.07042673,0.083715325,0.082130083,0.097597955,0.03235749,0.049179067,0.062904056,0.067397534,0.072133279,0.069879334,0.03805401,-0.000575547,0.014173318,0.026272741,0.025506281,0.026503459,0.006974992,0.051100326,0.059483864,0.061242938,0.061167898,0.055738598,0.042235785,0.011306983,0.06100093,0.060519998,0.075652765,0.071683841,0.082138304,0.078454744,0.085207552,0.080635976,0.08290989,0.049826288,0.057345318,0.035184439,-0.097179074,-0.109266211,-0.088762816,-0.112876783,-0.096468258,-0.116074959,-0.087711891,-0.121112088,-0.051756742,-0.085897602,0.068366239,-0.045751038,-0.039270818,-0.022483005,-0.016000918,-0.003650725,0.04610609,-0.027298733
Units,0.128203906,-0.021166033,0.032318852,0.176197215,0.109322376,0.084184838,1,0.213286941,0.305357698,0.387932099,0.438344309,0.628311763,0.309140926,0.913072353,0.28470622,0.043863259,0.202116882,0.042338042,0.106872532,0.285887728,0.070776541,0.145357468,0.365975444,0.118048012,0.155184483,0.417602262,0.145968635,0.271102137,0.558209847,0.201476484,0.766820986,0.191725789,0.281248649,0.353806137,0.404273074,0.475356239,0.079420116,-8.68E-05,0.006869216,0.016799259,0.030059849,0.058185024,0.913072353,0.430421889,0.089113025,0.161052954,0.210861355,0.238608351,0.289140993,-0.169104987,0.123283362,0.142190137,0.136792903,0.123366164,0.061354814,0.193799796,0.041387509,0.085724588,0.12306751,0.137891722,0.149407384,0.020310552,0.071560092,0.088302288,0.096951711,0.098221623,0.076825328,-0.031145625,-0.235184396,0.125071427,0.117779706,0.154173767,0.135215158,0.162858564,0.131356594,0.15985197,0.122666718,0.11438975,0.056454107,0.13982476,-0.131694137,-0.18072804,NA,-0.185695561,NA,-0.178743425,NA,-0.17204589,NA,-0.158764271,-0.280713532,0.210577529,-0.073508744,-0.056181319,0.002032366,0.038102853,0.066010524,0.174711502,-0.114476175
Units7,0.006006171,0.007645444,0.020364808,0.078713629,0.029041901,0.057739652,0.213286941,1,0.724820374,0.599777775,0.52512345,0.339816717,0.026170532,0.213363445,0.117917576,0.238619864,0.946940746,0.147504167,0.116440887,0.721982838,0.131487103,0.093499949,0.614947169,0.156274398,0.082914023,0.534820962,0.158011864,0.031928368,0.356832455,0.169084334,0.158790667,0.912253159,0.651704528,0.514954593,0.457516018,0.203498291,0.053920403,0.026689512,0.036550704,0.046619544,0.054766955,0.066547656,0.213363445,0.193272222,0.230855784,0.268499249,0.274367284,0.256691563,0.232189528,0.225367544,0.684408456,0.642664586,0.525499269,0.462870347,0.365734497,0.089707255,0.212230482,0.200871031,0.165514623,0.144743698,0.113070442,0.034516279,0.289946373,0.275684016,0.253308056,0.245976422,0.21569799,0.255409059,0.068639786,0.622060848,0.595476192,0.594613682,0.584070447,0.500708158,0.488501057,0.447664034,0.434636755,0.369669397,0.280582688,0.05894197,-0.122139923,NA,NA,NA,NA,NA,NA,NA,-0.531381515,-0.208104571,-0.478335033,0.103208741,NA,NA,-0.060674089,-0.023322525,0.038712443,0.076022603,-0.116032269
Units30,0.014020733,0.008195327,0.028352094,0.112759746,0.053816038,0.070294643,0.305357698,0.724820374,1,0.82490519,0.736597987,0.481258717,0.092760772,0.28491198,0.171698973,0.170773714,0.676549062,0.119556231,0.371123317,0.91396132,0.194901517,0.285839119,0.785108203,0.222172599,0.26079821,0.703857654,0.219136467,0.104210786,0.473720284,0.233785307,0.240909552,0.657359129,0.919722586,0.718842647,0.65632833,0.300779991,0.070073256,0.017900229,0.037536397,0.046066857,0.057703442,0.08473262,0.28491198,0.276303358,0.194894928,0.362632321,0.37596164,0.359123896,0.330687014,0.260509168,0.510539012,0.612209552,0.62069378,0.557493022,0.448311217,0.190661305,0.158859886,0.289314559,0.315197342,0.291298002,0.241947881,0.051533957,0.269436268,0.318299826,0.330469124,0.330698157,0.28711947,0.345176374,0.077731502,0.501744004,0.481581514,0.61231772,0.562042494,0.625448218,0.594538034,0.57934628,0.543625431,0.493941208,0.357159304,0.094292159,-0.061516589,NA,NA,NA,NA,NA,NA,NA,NA,-0.240751126,NA,0.144299984,NA,NA,-0.084606612,-0.025140929,0.055689639,0.10961941,-0.234799011
Units90,0.034070524,0.009702802,0.043485002,0.131514541,0.070401641,0.074222615,0.387932099,0.599777775,0.82490519,1,0.909650253,0.603534679,0.128537776,0.354989711,0.224508559,0.147461207,0.560427125,0.118818317,0.289976723,0.760352226,0.198346171,0.385850042,0.933963837,0.305902822,0.353046585,0.85502835,0.292022191,0.142673018,0.586611869,0.301285124,0.319263239,0.55272316,0.765042176,0.91791438,0.848511614,0.392895214,0.07498131,0.017629463,0.036346696,0.052840107,0.067315841,0.0885799,0.354989711,0.350878488,0.191182586,0.359274269,0.4663922,0.449219588,0.417103841,0.273039519,0.425918902,0.513885434,0.538112252,0.570574249,0.484933999,0.239301909,0.130479362,0.234591427,0.319559605,0.342716217,0.301441653,0.04947208,0.250666267,0.303001523,0.318892289,0.320095455,0.268710096,0.382919599,0.072078012,0.437097726,0.420621121,0.537475916,0.49465114,0.583627213,0.513712879,0.609910397,0.558462022,0.539126516,0.387525606,0.109709093,-0.053841497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17315665,NA,NA,-0.087662355,-0.019666204,0.06755489,0.137970669,-0.287384759
