,Customer.Lifetime.Value,Coverage,Education,EmploymentStatus,Gender,Income,Location.Code,Marital.Status,Monthly.Premium.Auto,Months.Since.Last.Claim,Months.Since.Policy.Inception,Number.of.Open.Complaints,Number.of.Policies,Policy.Type,Policy,Renew.Offer.Type,Sales.Channel,Total.Claim.Amount,Vehicle.Class,Vehicle.Size
1,7824.372789,Basic,Bachelor,Unemployed,F,0,Urban,Married,67,2,33,0,2,Personal Auto,Personal L2,Offer2,Branch,267.214383,Four-Door Car,2
2,8005.964669,Basic,College,Employed,M,63357,Suburban,Married,101,26,42,0,5,Personal Auto,Personal L2,Offer2,Agent,565.508572,SUV,2
3,8646.504109,Basic,High School or Below,Employed,F,64125,Urban,Married,108,3,44,0,3,Personal Auto,Personal L1,Offer2,Branch,369.818708,SUV,1
6,16570.09009,Extended,Bachelor,Employed,M,23589,Suburban,Married,211,30,13,0,6,Special Auto,Special L2,Offer2,Agent,1012.8,Luxury SUV,3
7,3653.703458,Extended,College,Employed,F,74126,Suburban,Married,90,14,76,0,1,Corporate Auto,Corporate L3,Offer2,Call Center,478.751065,Two-Door Car,2
8,11154.67599,Extended,Doctor,Employed,F,31409,Urban,Married,93,10,50,0,2,Personal Auto,Personal L3,Offer1,Branch,381.960657,Four-Door Car,2
10,8382.630118,Basic,High School or Below,Retired,M,19683,Suburban,Married,117,17,41,1,9,Corporate Auto,Corporate L1,Offer1,Web,561.6,Sports Car,2
12,3839.606117,Basic,Doctor,Unemployed,F,0,Suburban,Divorced,112,3,51,2,1,Personal Auto,Personal L2,Offer1,Agent,537.6,SUV,2
13,2860.111745,Basic,College,Employed,M,51159,Rural,Married,72,4,61,0,1,Personal Auto,Personal L2,Offer2,Branch,4.238626,Four-Door Car,2
16,5714.562292,Basic,Bachelor,Employed,F,74905,Rural,Single,72,16,35,0,3,Personal Auto,Personal L3,Offer1,Call Center,167.028453,Four-Door Car,2
17,4960.965384,Basic,College,Unemployed,M,0,Suburban,Divorced,0,16,52,0,3,Personal Auto,Personal L3,Offer1,Agent,445.702958,Four-Door Car,2
19,8500.12195,Premium,College,Employed,M,88895,Suburban,Single,108,24,86,0,8,Corporate Auto,Corporate L3,Offer1,Call Center,532.8,Four-Door Car,2
22,7950.178237,Basic,Doctor,Employed,M,44818,Suburban,Divorced,68,6,29,0,2,Personal Auto,Personal L1,Offer1,Agent,432.4081,Four-Door Car,3
25,7664.80924,Premium,High School or Below,Unemployed,M,0,Suburban,Single,107,14,90,0,3,Personal Auto,Personal L3,Offer1,Agent,770.4,Four-Door Car,2
26,7341.861257,Basic,High School or Below,Unemployed,F,0,Rural,Married,104,1,48,3,7,Personal Auto,Personal L3,Offer1,Branch,82.041684,Sports Car,2
27,2876.775085,Extended,Bachelor,Unemployed,M,0,Suburban,Single,84,4,29,0,1,Personal Auto,Personal L1,Offer3,Branch,849.011958,Four-Door Car,2
28,5439.804227,Basic,High School or Below,Employed,M,61546,Rural,Married,68,4,27,0,3,Corporate Auto,Corporate L2,Offer4,Call Center,29.209521,Two-Door Car,1
29,2124.173841,Basic,Bachelor,Unemployed,M,0,Rural,Married,61,17,14,1,1,Corporate Auto,Personal L3,Offer4,Web,60.5975,Two-Door Car,2
30,3673.525732,Extended,Doctor,Employed,F,37384,Urban,Married,93,30,66,1,1,Corporate Auto,Personal L3,Offer2,Branch,354.455466,Four-Door Car,2
31,7126.596501,Basic,College,Medical Leave,M,17483,Suburban,Married,183,24,63,0,1,Personal Auto,Personal L1,Offer2,Web,1317.6,Luxury Car,1
32,4525.365839,Basic,Bachelor,Medical Leave,M,10269,Urban,Single,65,12,5,0,3,Corporate Auto,Personal L1,Offer1,Agent,170.798204,Two-Door Car,2
34,33473.34946,Basic,Bachelor,Employed,F,33190,Suburban,Divorced,106,18,95,0,2,Personal Auto,Personal L3,Offer1,Web,508.8,SUV,2
35,9706.375239,Extended,College,Employed,F,23649,Urban,Married,122,2,69,0,6,Personal Auto,Personal L3,Offer1,Branch,535.606632,SUV,1
37,10209.9339,Extended,High School or Below,Employed,M,43736,Suburban,Married,128,0,88,0,3,Personal Auto,Personal L1,Offer1,Branch,614.4,SUV,2
38,10248.89802,Extended,College,Employed,M,52693,Suburban,Married,129,1,0,0,5,Personal Auto,Personal L2,Offer1,Branch,619.2,SUV,2
41,6863.706694,Basic,College,Unemployed,M,0,Suburban,Single,110,14,30,1,5,Personal Auto,Personal L3,Offer3,Branch,792,SUV,2
43,2523.959554,Basic,College,Medical Leave,M,16244,Suburban,Married,68,4,85,0,1,Personal Auto,Personal L3,Offer4,Call Center,623.223617,Two-Door Car,2
44,4150.836913,Premium,High School or Below,Employed,F,53787,Suburban,Married,104,20,77,0,1,Corporate Auto,Corporate L2,Offer1,Agent,666.092015,Four-Door Car,2
45,8405.752991,Basic,High School or Below,Employed,M,85355,Suburban,Married,71,34,47,2,2,Personal Auto,Personal L2,Offer2,Call Center,458.568921,Two-Door Car,3
47,7559.206998,Premium,College,Unemployed,M,0,Suburban,Single,119,33,58,1,3,Corporate Auto,Corporate L3,Offer1,Call Center,964.51598,Four-Door Car,3
48,2491.317024,Basic,Doctor,Employed,M,36631,Rural,Divorced,62,30,77,0,1,Personal Auto,Personal L2,Offer1,Agent,67.530904,Four-Door Car,1
