"","equip","econ","perAA","rural","atlanta","gore","bush","other","votes","ballots","undercount","pergore"
"APPLING","LEVER","poor",0.182,"rural","notAtlanta",2093,3940,66,6099,6617,0.0782832099138582,0.343171011641253
"ATKINSON","LEVER","poor",0.23,"rural","notAtlanta",821,1228,22,2071,2149,0.0362959516053979,0.396426846933848
"BACON","LEVER","poor",0.131,"rural","notAtlanta",956,2010,29,2995,3347,0.105168807887661,0.319198664440735
"BAKER","OS-CC","poor",0.476,"rural","notAtlanta",893,615,11,1519,1607,0.0547604231487243,0.58788676761027
"BALDWIN","LEVER","middle",0.359,"rural","notAtlanta",5893,6041,192,12126,12785,0.0515447790379351,0.485980537687613
"BANKS","LEVER","middle",0.024,"rural","notAtlanta",1220,3202,111,4533,4773,0.0502828409805154,0.269137436576219
"BARROW","OS-CC","middle",0.079,"urban","notAtlanta",3657,7925,520,12102,12522,0.0335409678965022,0.302181457610312
"BARTOW","OS-PC","middle",0.079,"urban","Atlanta",7508,14720,552,22780,23735,0.0402359384874658,0.329587357330992
"BEN.HILL","OS-PC","poor",0.282,"rural","notAtlanta",2234,2381,46,4661,5741,0.1881205364919,0.479296288350139
"BERRIEN","OS-CC","poor",0.107,"rural","notAtlanta",1640,2718,52,4410,4475,0.0145251396648045,0.3718820861678
"BIBB","OS-CC","middle",0.396,"urban","notAtlanta",24996,24071,709,49776,52075,0.0441478636581853,0.502169720347155
"BLECKLEY","LEVER","middle",0.166,"rural","notAtlanta",1273,2436,40,3749,3867,0.030514610809413,0.339557215257402
"BRANTLEY","LEVER","poor",0.036,"rural","notAtlanta",1372,3118,76,4566,4910,0.070061099796334,0.30048182216382
"BROOKS","LEVER","poor",0.341,"rural","notAtlanta",2096,2406,49,4551,4754,0.0427008834665545,0.460558119094704
"BRYAN","LEVER","middle",0.13,"urban","notAtlanta",2172,4835,52,7059,7059,0,0.307692307692308
"BULLOCH","OS-CC","middle",0.218,"rural","notAtlanta",5561,8990,231,14782,15371,0.03831891223733,0.376200784738195
"BURKE","LEVER","poor",0.465,"rural","notAtlanta",3720,3381,34,7135,7431,0.0398331314762482,0.521373510861948
"BUTTS","OS-PC","middle",0.252,"rural","notAtlanta",2281,3198,156,5635,5907,0.0460470628068393,0.404791481810115
"CALHOUN","PUNCH","poor",0.562,"rural","notAtlanta",1107,768,12,1887,2065,0.0861985472154964,0.58664546899841
"CAMDEN","LEVER","middle",0.192,"rural","notAtlanta",3636,6371,112,10119,10204,0.00833006664053312,0.359324043877854
"CANDLER","LEVER","poor",0.239,"rural","notAtlanta",1053,1643,26,2722,2846,0.0435699226985242,0.386847905951506
"CARROLL","OS-CC","middle",0.128,"urban","notAtlanta",8752,16326,663,25741,26740,0.03735976065819,0.340002330911775
"CATOOSA","OS-CC","middle",0.009,"urban","notAtlanta",5470,12033,218,17721,18114,0.0216959258032461,0.308673325433102
"CHARLTON","LEVER","poor",0.231,"rural","notAtlanta",1015,1770,31,2816,2963,0.0496118798515019,0.360440340909091
"CHATHAM","OS-PC","middle",0.341,"urban","notAtlanta",37590,37847,1037,76474,78381,0.0243298758627729,0.491539608232863
"CHATTAHOOCHEE","LEVER","middle",0.344,"urban","notAtlanta",600,590,17,1207,1227,0.0162999185004075,0.497100248550124
"CHATTOOGA","OS-PC","middle",0.085,"rural","notAtlanta",2729,3640,108,6477,6823,0.050710831012751,0.421337038752509
"CHEROKEE","OS-CC","rich",0.021,"urban","Atlanta",12295,38033,2020,52348,53458,0.020763964233604,0.234870482157867
"CLARKE","LEVER","middle",0.242,"urban","notAtlanta",15167,11850,1887,28904,29519,0.0208340390934652,0.524737060614448
"CLAY","LEVER","poor",0.563,"rural","notAtlanta",821,448,8,1277,1334,0.0427286356821589,0.64291307752545
"CLAYTON","PUNCH","middle",0.509,"urban","Atlanta",40042,19966,1390,61398,63309,0.0301852817135005,0.652171080491221
"CLINCH","LEVER","middle",0.252,"rural","notAtlanta",816,1091,22,1929,1996,0.0335671342685371,0.423017107309487
"COBB","OS-PC","rich",0.16,"urban","Atlanta",86676,140494,7856,235026,236525,0.00633759644857837,0.368793239896862
"COFFEE","LEVER","middle",0.259,"rural","notAtlanta",3593,5756,81,9430,9687,0.0265304015691132,0.38101802757158
"COLQUITT","LEVER","poor",0.2,"rural","notAtlanta",3297,6589,86,9972,10355,0.0369869628198938,0.330625752105897
"COLUMBIA","PUNCH","rich",0.099,"urban","notAtlanta",8969,26660,379,36008,37606,0.0424932191671542,0.24908353699178
"COOK","OS-CC","poor",0.252,"rural","notAtlanta",1639,2279,26,3944,4280,0.0785046728971963,0.415567951318458
"COWETA","OS-CC","rich",0.144,"urban","Atlanta",9056,21327,842,31225,32104,0.0273797657612759,0.290024019215372
"CRAWFORD","LEVER","middle",0.251,"rural","notAtlanta",1513,1987,67,3567,3632,0.0178964757709251,0.424165965797589
"CRISP","LEVER","poor",0.326,"rural","notAtlanta",2268,3285,56,5609,5973,0.0609409007199062,0.404350151542164
"DADE","LEVER","middle",0.005,"urban","notAtlanta",1628,3333,88,5049,5290,0.0455576559546314,0.32244008714597
"DAWSON","OS-CC","rich",0.001,"rural","notAtlanta",1458,4210,230,5898,6003,0.0174912543728136,0.247202441505595
"DECATUR","LEVER","poor",0.331,"rural","notAtlanta",3398,4187,63,7648,7898,0.0316535831856166,0.444299163179916
"DEKALB","PUNCH","middle",0.514,"urban","Atlanta",154509,58807,6664,219980,228352,0.0366626961883408,0.702377488862624
"DODGE","LEVER","poor",0.231,"rural","notAtlanta",2326,3472,79,5877,6044,0.0276307081403044,0.39578015994555
"DOOLY","LEVER","poor",0.463,"rural","notAtlanta",1901,1588,31,3520,3755,0.0625832223701731,0.540056818181818
"DOUGHERTY","OS-PC","poor",0.523,"urban","notAtlanta",16650,12248,166,29064,30752,0.0548907388137357,0.572873658133774
"DOUGLAS","OS-CC","rich",0.169,"urban","Atlanta",11162,18893,908,30963,31943,0.0306796481232195,0.360494784097148
"EARLY","OS-PC","poor",0.365,"rural","notAtlanta",1622,1938,25,3585,3798,0.0560821484992101,0.452440725244073
"ECHOLS","LEVER","poor",0.077,"rural","notAtlanta",272,614,12,898,954,0.0587002096436059,0.302895322939866
"EFFINGHAM","LEVER","middle",0.109,"urban","notAtlanta",3232,7326,92,10650,11436,0.0687303252885624,0.303474178403756
"ELBERT","OS-CC","poor",0.257,"rural","notAtlanta",2527,3262,64,5853,5960,0.0179530201342282,0.431744404578848
"EMANUEL","LEVER","poor",0.298,"rural","notAtlanta",2835,3343,84,6262,6262,0,0.452730756946662
"EVANS","LEVER","middle",0.296,"rural","notAtlanta",1217,1841,22,3080,3203,0.0384014985950671,0.39512987012987
"FANNIN","OS-CC","middle",0.001,"rural","notAtlanta",2736,5463,191,8390,8691,0.0346335289379818,0.326102502979738
"FAYETTE","OS-CC","rich",0.101,"urban","Atlanta",11912,29338,1199,42449,42766,0.0074124304353926,0.280619095856204
"FLOYD","OS-CC","middle",0.107,"rural","notAtlanta",10282,16194,349,26825,27820,0.035765636232926,0.383299161230196
"FORSYTH","PUNCH","rich",0.003,"urban","Atlanta",6694,27769,1292,35755,37078,0.0356815362209396,0.187218570829255
"FRANKLIN","OS-CC","middle",0.061,"rural","notAtlanta",2040,3659,63,5762,6183,0.0680899239851205,0.354043734814301
"FULTON","PUNCH","middle",0.416,"urban","Atlanta",152039,104870,6302,263211,280975,0.0632227066464988,0.577631633936272
"GILMER","OS-CC","middle",0,"rural","notAtlanta",2230,4941,199,7370,7616,0.0323004201680672,0.302578018995929
"GLASCOCK","LEVER","poor",0.07,"rural","notAtlanta",249,763,8,1020,1100,0.0727272727272727,0.244117647058824
"GLYNN","OS-PC","middle",0.212,"rural","notAtlanta",7778,14346,260,22384,23151,0.0331303183447799,0.347480343102216
"GORDON","OS-PC","middle",0.033,"rural","notAtlanta",4032,7944,229,12205,12899,0.0538026203581673,0.330356411306841
"GRADY","LEVER","poor",0.242,"rural","notAtlanta",2721,3894,88,6703,7195,0.0683808200138985,0.405937639862748
"GREENE","OS-PC","poor",0.366,"rural","notAtlanta",2137,2980,80,5197,5550,0.0636036036036036,0.4111987685203
"GWINNETT","OS-PC","rich",0.114,"urban","Atlanta",61434,121756,7920,191110,192303,0.00620375137153346,0.321458845690963
"HABERSHAM","LEVER","middle",0.018,"rural","notAtlanta",2530,6964,197,9691,10377,0.066107738267322,0.261066969353008
"HALL","OS-PC","rich",0.065,"rural","Atlanta",10259,26841,1050,38150,39247,0.0279511809819859,0.268912188728702
"HANCOCK","LEVER","poor",0.765,"rural","notAtlanta",2414,662,10,3086,3255,0.0519201228878648,0.782242384964355
"HARALSON","OS-CC","middle",0.045,"rural","notAtlanta",2869,5153,145,8167,8609,0.0513416192356836,0.351291784008816
"HARRIS","LEVER","rich",0.159,"urban","notAtlanta",2912,5554,96,8562,8738,0.0201419089036393,0.340107451530016
"HART","LEVER","middle",0.142,"rural","notAtlanta",3192,4242,102,7536,7731,0.0252231276678308,0.423566878980892
"HEARD","OS-CC","poor",0.101,"rural","notAtlanta",1178,1947,73,3198,3369,0.0507569011576135,0.368355222013759
"HENRY","PUNCH","rich",0.136,"urban","Atlanta",11971,25815,1081,38867,39851,0.0246919776166219,0.307999073764376
"HOUSTON","OS-CC","middle",0.199,"urban","notAtlanta",13301,23174,513,36988,38139,0.0301790817798054,0.359603114523629
"IRWIN","LEVER","middle",0.22,"rural","notAtlanta",1105,1720,27,2852,2887,0.0121233113959127,0.387447405329593
"JACKSON","OS-CC","middle",0.059,"rural","notAtlanta",3420,7878,337,11635,11980,0.0287979966611018,0.293940696175333
"JASPER","LEVER","middle",0.252,"rural","notAtlanta",1558,2298,87,3943,4186,0.0580506450071667,0.395130611209739
"JEFF.DAVIS","LEVER","poor",0.143,"rural","notAtlanta",1379,2797,45,4221,4574,0.0771753388718846,0.326699834162521
