"","City","NoOfChildren","MinAgeOfChild","Tenure","FrquncyOfPurchase","NoOfUnitsPurchased","FrequencyOFPlay","NoOfGamesBought","FavoriteChannelOfTransaction","FavoriteGame","TotalRevenueGenerated"
"923",1,1,8,231,16,16,520,16,"Favorite","Uniform",127.5
"2529",1,1,7,337,8,7,3015,4,"Favorite","Uniform",106.21
"1312",1,6,1,373,16,16,601,13,"Favorite","Uniform",156.47
"2831",1,2,3,195,18,14,12,18,"Favorite","Favorite",105
"3015",1,3,4,383,16,16,502,14,"Favorite","Uniform",179.98
"146",2,1,6,384,11,11,531,11,"Favorite","Uniform",178.13
"1692",1,2,5,364,29,21,3089,29,"Favorite","Uniform",217.51
"2858",1,2,6,368,6,6,229,2,"Favorite","Uniform",177.49
"1766",1,3,1,463,24,17,1616,24,"Favorite","Uniform",173.77
"1462",1,1,6,462,10,10,1698,10,"Favorite","Uniform",134.5
"3061",1,2,4,445,16,16,2277,11,"Favorite","Uniform",138.95
"1450",1,1,7,161,9,9,1227,8,"Favorite","Uniform",104.99
"2167",1,2,3,263,10,10,485,10,"Favorite","Uniform",132.5
"1831",1,3,5,336,12,13,378,3,"Favorite","Uniform",196.68
"329",2,2,3,423,13,13,1238,13,"Favorite","Uniform",106.3
"2875",1,2,3,372,31,31,2130,31,"Favorite","Uniform",247.58
"786",1,2,5,312,13,11,3082,13,"Favorite","Uniform",162.5
"135",2,1,7,406,10,10,1474,10,"Favorite","Uniform",124.9
"1047",1,3,3,387,24,19,1800,24,"Uniform","Uniform",197.28
"3045",1,1,6,314,11,11,4766,11,"Favorite","Uniform",110
"2837",1,6,1,395,15,15,258,9,"Favorite","Uniform",225.03
"2209",1,2,2,444,16,13,3927,14,"Uniform","Uniform",117.5
"2042",1,1,6,126,10,10,102,10,"Favorite","Uniform",130
"3168",1,3,3,315,23,23,993,23,"Favorite","Uniform",242.5
"2089",2,3,4,328,19,11,1054,19,"Favorite","Uniform",131.92
"2256",1,2,6,450,11,11,1141,11,"Favorite","Uniform",137.5
"1732",1,1,7,206,8,8,1208,8,"Favorite","Uniform",110
"1891",1,2,3,458,12,12,611,12,"Favorite","Uniform",105
"920",1,3,4,419,28,23,972,28,"Uniform","Uniform",207.52
"468",1,1,6,319,14,14,557,14,"Favorite","Uniform",112.5
"3062",1,2,4,461,30,30,6359,30,"Favorite","Uniform",262.53
"2868",1,3,3,448,25,20,497,25,"Favorite","Uniform",152.5
"2195",1,1,7,433,12,12,449,12,"Favorite","Uniform",106.25
"2527",1,2,6,160,5,5,417,1,"Favorite","Favorite",168.77
"79",2,1,5,376,7,7,7259,7,"Favorite","Uniform",105.09
"1517",1,2,3,362,8,8,0,1,"Favorite","NONE",182.06
"2407",1,3,5,345,4,4,3,2,"Favorite","Favorite",159.48
"687",1,2,5,218,9,9,478,9,"Favorite","Uniform",100
"1009",1,2,6,365,34,19,1238,34,"Uniform","Uniform",235.02
"735",1,1,5,359,27,24,4756,21,"Favorite","Uniform",377.5
"453",1,3,5,226,18,18,2209,18,"Uniform","Uniform",165.04
"1314",1,2,4,431,20,19,3717,20,"Favorite","Uniform",304.5
"1311",1,1,6,150,14,10,674,12,"Favorite","Favorite",105.89
"1168",1,3,5,190,15,15,1833,15,"Favorite","Uniform",110.02
"483",1,1,6,454,14,14,1237,14,"Favorite","Uniform",138.25
"440",1,2,5,407,11,8,1742,11,"Favorite","Uniform",115
