"","group1","group2"
"1",3,1
"2",3,5
"3",4,2
"4",1,4
"5",3,1
"6",5,3
"7",3,5
"8",1,4
"9",1,4
"10",5,3
"11",2,3
"12",4,2
"13",3,1
"14",2,3
"15",3,5
"16",1,4
"17",3,5
"18",2,3
"19",4,2
"20",3,1
"21",2,5
"22",4,2
"23",3,1
"24",4,2
"25",2,5
"26",1,4
"27",3,1
"28",2,3
"29",3,5
"30",1,4
"31",1,4
"32",2,3
"33",1,4
"34",3,1
"35",2,3
"36",2,3
"37",1,4
"38",2,3
"39",3,5
"40",3,1
"41",3,1
"42",3,1
"43",1,4
"44",2,3
"45",3,1
"46",5,3
"47",1,4
"48",2,3
"49",3,1
"50",3,1
"51",3,1
"52",1,4
"53",3,1
"54",1,4
"55",2,3
"56",3,5
"57",3,1
"58",2,5
"59",3,1
"60",3,1
"61",3,1
"62",1,4
"63",3,1
"64",2,5
"65",3,1
"66",3,1
"67",2,3
"68",1,4
"69",2,5
